Name	Label	LabID	Species	Haplogroup	Description	Age	Location	Reference
KX027568.1	KX027568 | EID10 | Mammuthus primigenius (Clade 1, North America) | Yukon, Canada ~27ky	EID10	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)	~27ky	Yukon, Canada	
KX027524.1	KX027524 | EID13 | Mammuthus primigenius (Clade 1, North America) | Alaska, USA 	EID13	Mammuthus primigenius	Clade 1, North America	Woolly mammoth (extinct)		Alaska, USA	
KX027516.1	KX027516 | SVEP43 | Mammuthus columbi | Dent, USA ~13ky	SVEP43	Mammuthus columbi		Columbian mammoth (extinct)	~13ky	Dent, USA	
KX027548.1	KX027548 | SSEP12 | Mammuthus columbi | Red Willow County, USA ~14ky	SSEP12	Mammuthus columbi		Columbian mammoth (extinct)	~14ky	Red Willow County, USA	
KX027517.1	KX027517 | SSEP38 | Mammuthus columbi | Dent, USA ~13ky	SSEP38	Mammuthus columbi		Columbian mammoth (extinct)	~13ky	Dent, USA	
KX027547.1	KX027547 | SEP11 | Mammuthus columbi | Red Willow County, USA ~21ky	SEP11	Mammuthus columbi		Columbian mammoth (extinct)	~21ky	Red Willow County, USA	
KX027494.1	KX027494 | SEP44 | Mammuthus columbi | Bear Creek, USA ~22ky	SEP44	Mammuthus columbi		Columbian mammoth (extinct)	~22ky	Bear Creek, USA	
KX027509.1	KX027509 | SSEP18 | Mammuthus columbi | Crappie Hole, USA ~28ky	SSEP18	Mammuthus columbi		Columbian mammoth (extinct)	~28ky	Crappie Hole, USA	
KX027520.1	KX027520 | SVEP49 | Mammuthus columbi | Assyria, USA ~13ky	SVEP49	Mammuthus columbi		Columbian mammoth (extinct)	~13ky	Assyria, USA	
KX027550.1	KX027550 | SVEP1478 | Mammuthus columbi | Red Willow County, USA ~19ky	SVEP1478	Mammuthus columbi		Columbian mammoth (extinct)	~19ky	Red Willow County, USA	
KX027503.1	KX027503 | SEP19 | Mammuthus columbi | Big Nemaha River, USA ~17ky	SEP19	Mammuthus columbi		Columbian mammoth (extinct)	~17ky	Big Nemaha River, USA	
JF912199.1	JF912199 | Huntington | Mammuthus columbi | Utah, USA 	Huntington	Mammuthus columbi		Columbian mammoth (extinct)		Utah, USA	
KX027510.1	KX027510 | SVEP29 | Mammuthus columbi | Crappie Hole, USA 	SVEP29	Mammuthus columbi		Columbian mammoth (extinct)		Crappie Hole, USA	
KX027540.1	KX027540 | SSEP45 | Mammuthus columbi | San Antonio Creek, USA 	SSEP45	Mammuthus columbi		Columbian mammoth (extinct)		San Antonio Creek, USA	
KX027504.1	KX027504 | EID30 | Mammuthus columbi | Bindloss, Canada ~13ky	EID30	Mammuthus columbi		Columbian mammoth (extinct)	~13ky	Bindloss, Canada	
KX027539.1	KX027539 | SVED74 | Mammuthus columbi | San Antonio Creek, USA ~23ky	SVED74	Mammuthus columbi		Columbian mammoth (extinct)	~23ky	San Antonio Creek, USA	
PV139017.1	PV139017 | TB93 | Mammuthus primigenius (Clade 2) | Bolshoy Lyakhovsky Islands, Russia >44ky	TB93	Mammuthus primigenius	Clade 2	Woolly mammoth (extinct)	>44ky	Bolshoy Lyakhovsky Islands, Russia	
